,user,location,pesan
90,kotakuslawi,,"Pengumuman: Ada pelayanan vaksinasi covid-19 Dosis ke-2. Rabu,1 September 2021. Pukul 07.30-11.00 wib. Puskesmas  S… https://t.co/zFx3EhbF5L"
91,radar_malang,"Jalan Kawi 11B, Kota Malang","Pfizer Belum Masuk, Warga Kabupaten Paling Antusias Disuntik Moderna. Saat ini, vaksin Moderna diterima oleh Kab. M… https://t.co/A8YDhMv4kl"
92,PostMalaysia,Malaysia,#Vaksin #CanSino dan #Sinovac akan digunakan untuk meningkatkan vaksinasi di enam negeri yang belum mencapai… https://t.co/EWHtbZPqag
93,Sirf__watan94,پاکستان🇵🇰🇵🇰,"@SummayaIndites Allah asani kre agy b 😂
Vacn china wali thi #Sinovac"
94,mainmainid_,"Surabaya, Indonesia","Terbaru, ada vaksin Sputnik V dari Rusia yang mendapatkan izin penggunaan darurat (EUA) dari Badan Pengawas Obat da… https://t.co/S4SzJRx9Ka"
95,roseyroselle,"TERENGGANU,MALAYSIA",Vaccinated day for 2nd dose😁🤲👍 #thankyoufrontliners #sinovac💉 @ Dewan Besar Majlis Daerah Hulu Terengganu https://t.co/4qyuNluQ08
96,golalicom,,"Beberapa vaksinasi Bandung dari mulai sentra vaksin, kecamatan, puskesmas, sampai rumah sakit… https://t.co/ZwrQJ4IQZM"
97,JamiiForums,"Tanzania, Kenya and Uganda","ZANZIBAR: Waziri wa Afya, Nassor Ahmed Mazrui amesema wanaotaka kwenda Hijja na wamechoma Chanjo ya #Sinovac wanata… https://t.co/CWd81EoxuX"
98,humas_jogja,"Yogyakarta, Indonesia",Pelaksanaan Vaksinasi Bhinneka Tunggal Ika terasa spesial karena berbarengan dengan momentum peringatan tahun ke se… https://t.co/lpIHYC4KRN
99,humas_jogja,"Yogyakarta, Indonesia",Tema Bhinneka Tunggal Ika  dipilih sebagai upaya GKR Indonesia ikut merawat persatuan dan kesatuan bangsa.… https://t.co/v1sS6uYQ2j
